offset,recall,matched,total
44.40,0.959,47,49
44.56,0.958,46,48
44.72,0.959,47,49
44.88,0.960,48,50
45.04,0.961,49,51
45.20,0.962,50,52
45.36,0.961,49,51
45.52,0.961,49,51
45.68,0.922,47,51
45.84,0.922,47,51
46.00,0.940,47,50
46.16,0.940,47,50
46.32,0.959,47,49
46.48,0.960,48,50
46.64,0.960,48,50
46.80,0.961,49,51
46.96,0.962,50,52
47.12,0.962,51,53
47.28,0.962,51,53
47.44,0.963,52,54
47.60,0.963,52,54
47.76,0.963,52,54
47.92,0.943,50,53
48.08,0.942,49,52
48.24,0.961,49,51
48.40,0.959,47,49
48.56,0.938,45,48
48.72,0.938,45,48
48.88,0.958,46,48
49.04,0.938,45,48
49.20,0.957,45,47
49.36,0.957,45,47
49.52,0.958,46,48
49.68,0.957,45,47
49.84,0.957,45,47
50.00,0.957,44,46
50.16,0.957,44,46
50.32,0.956,43,45
50.48,0.956,43,45
50.64,0.933,42,45
50.80,0.911,41,45
50.96,0.933,42,45
51.12,0.933,42,45
51.28,0.933,42,45
51.44,0.933,42,45
51.60,0.933,42,45
51.76,0.932,41,44
51.92,0.933,42,45
52.08,0.935,43,46
52.24,0.935,43,46
52.40,0.935,43,46
52.56,0.936,44,47
52.72,0.936,44,47
52.88,0.938,45,48
53.04,0.936,44,47
53.20,0.935,43,46
53.36,0.935,43,46
53.52,0.936,44,47
53.68,0.917,44,48
53.84,0.920,46,50
54.00,0.918,45,49
54.16,0.917,44,48
54.32,0.917,44,48
54.48,0.936,44,47
54.64,0.936,44,47
54.80,0.938,45,48
54.96,0.938,45,48
55.12,0.957,45,47
55.28,0.957,44,46
55.44,0.956,43,45
55.60,0.955,42,44
55.76,0.953,41,43
55.92,0.951,39,41
56.08,0.950,38,40
56.24,0.927,38,41
56.40,0.951,39,41
56.56,0.952,40,42
56.72,0.927,38,41
56.88,0.929,39,42
57.04,0.927,38,41
57.20,0.930,40,43
57.36,0.930,40,43
57.52,0.933,42,45
57.68,0.932,41,44
57.84,0.930,40,43
58.00,0.930,40,43
58.16,0.932,41,44
58.32,0.935,43,46
58.48,0.938,45,48
58.64,0.938,45,48
58.80,0.935,43,46
58.96,0.930,40,43
59.12,0.930,40,43
59.28,0.929,39,42
59.44,0.925,37,40
59.60,0.927,38,41
59.76,0.952,40,42
59.92,0.951,39,41
60.08,0.952,40,42
60.24,0.952,40,42
60.40,0.952,40,42
60.56,0.952,40,42
60.72,0.927,38,41
60.88,0.950,38,40
61.04,0.947,36,38
61.20,0.946,35,37
61.36,0.946,35,37
61.52,0.974,37,38
61.68,1.000,38,38
61.84,0.974,38,39
62.00,0.974,38,39

# swept 376 offsets in [2.0,62.0] step 0.16
# flagged (recall < 0.6): 3
#   offset=8.72s recall=0.542 (26/48)
#   offset=16.88s recall=0.558 (24/43)
#   offset=29.68s recall=0.406 (13/32)
